Customer ID,Customer Name,Region
CG-12520,Claire Gute,South
CG-12520,Claire Gute,South
DV-13045,Darrin Van Huff,West
SO-20335,Sean O'Donnell,South
SO-20335,Sean O'Donnell,South
BH-11710,Brosina Hoffman,West
BH-11710,Brosina Hoffman,West
BH-11710,Brosina Hoffman,West
BH-11710,Brosina Hoffman,West
BH-11710,Brosina Hoffman,West
BH-11710,Brosina Hoffman,West
BH-11710,Brosina Hoffman,West
AA-10480,Andrew Allen,South
IM-15070,Irene Maddox,West
HP-14815,Harold Pawlan,Central
HP-14815,Harold Pawlan,Central
PK-19075,Pete Kriz,Central
AG-10270,Alejandro Grove,West
ZD-21925,Zuschuss Donatelli,West
ZD-21925,Zuschuss Donatelli,West
ZD-21925,Zuschuss Donatelli,West
KB-16585,Ken Black,Central
KB-16585,Ken Black,Central
SF-20065,Sandra Flanagan,East
EB-13870,Emily Burns,West
EH-13945,Eric Hoffmann,West
EH-13945,Eric Hoffmann,West
TB-21520,Tracy Blumstein,East
TB-21520,Tracy Blumstein,East
TB-21520,Tracy Blumstein,East
TB-21520,Tracy Blumstein,East
TB-21520,Tracy Blumstein,East
TB-21520,Tracy Blumstein,East
TB-21520,Tracy Blumstein,East
MA-17560,Matt Abelman,Central
GH-14485,Gene Hale,Central
GH-14485,Gene Hale,Central
SN-20710,Steve Nguyen,Central
SN-20710,Steve Nguyen,Central
SN-20710,Steve Nguyen,Central
SN-20710,Steve Nguyen,Central
LC-16930,Linda Cazamias,Central
RA-19885,Ruben Ausman,West
ES-14080,Erin Smith,South
ON-18715,Odella Nelson,Central
ON-18715,Odella Nelson,Central
PO-18865,Patrick O'Donnell,Central
LH-16900,Lena Hernandez,East
LH-16900,Lena Hernandez,East
DP-13000,Darren Powers,Central
DP-13000,Darren Powers,Central
DP-13000,Darren Powers,Central
DP-13000,Darren Powers,Central
JM-15265,Janet Molinari,East
JM-15265,Janet Molinari,East
TB-21055,Ted Butterfield,East
TB-21055,Ted Butterfield,East
TB-21055,Ted Butterfield,East
